Value,Description
BT2S-49,BT2 WELLHEAD SHELTERS 49
BT2S-50,BT2 WELLHEAD SHELTERS 50
BT2S-51,BT2 WELLHEAD SHELTERS 51
BT2S-52,BT2 WELLHEAD SHELTERS 52
BT2S-53,BT2 WELLHEAD SHELTERS 53
BT2S-54,BT2 WELLHEAD SHELTERS 54
BT2S-55,BT2 WELLHEAD SHELTERS 55
BT2S-56,BT2 WELLHEAD SHELTERS 56
BT2S-57,BT2 WELLHEAD SHELTERS 57
BT2S-58,BT2 WELLHEAD SHELTERS 58
BT2S-59,BT2 WELLHEAD SHELTERS 59
BT2S-60,BT2 WELLHEAD SHELTERS 60
BT2S-61,BT2 WELLHEAD SHELTERS 61
BT2S-62,BT2 WELLHEAD SHELTERS 62
BT2V,BT2 VALVE STATION
BT2W,BT2 WASHROOMS
BT2Y,BT2 TRUCK TRANSFER LOADING AREA
BT30,BT3 MULTI MOD
BT3A,BT3 GENERAL
BT3A-IW1,BT3 INJECTOR WELL (TYP. 30)
BT3A-PW1,BT3 PRODUCER WELL (TYP. 30)
BT3C,BT3C DOWNHOLE HEAT TRACING CABINETS PLATFORM
BT3C-01,BT3 DOWNHOLE HEAT TRACING CABINETS PLATFORM
BT3C-02,BT3 DOWNHOLE HEAT TRACING CABINETS PLATFORM
BT3C-03,BT3 DOWNHOLE HEAT TRACING CABINETS PLATFORM
BT3C-04,BT3 DOWNHOLE HEAT TRACING CABINETS PLATFORM
BT3C-05,BT3 DOWNHOLE HEAT TRACING CABINETS PLATFORM
BT3C-06,BT3 DOWNHOLE HEAT TRACING CABINETS PLATFORM
BT3C-07,BT3 DOWNHOLE HEAT TRACING CABINETS PLATFORM
BT3C-08,BT3 DOWNHOLE HEAT TRACING CABINETS PLATFORM
BT3C-09,BT3 DOWNHOLE HEAT TRACING CABINETS PLATFORM
BT3C-10,BT3 DOWNHOLE HEAT TRACING CABINETS PLATFORM
BT3C-11,BT3 DOWNHOLE HEAT TRACING CABINETS PLATFORM
BT3C-12,BT3 DOWNHOLE HEAT TRACING CABINETS PLATFORM
BT3C-13,BT3 DOWNHOLE HEAT TRACING CABINETS PLATFORM
BT3C-14,BT3 DOWNHOLE HEAT TRACING CABINETS PLATFORM
BT3C-15,BT3 DOWNHOLE HEAT TRACING CABINETS PLATFORM
BT3H,BT3 TELECOM TOWER
BT3I,BT3 INTERCONNECTS
BT3M,BT3 DRILLSITE MODULE
BT3M-ST1,BT3 MANIFOLD MODULE - 3 STAIRTOWER 1
BT3M-ST2,BT3 MANIFOLD MODULE - 3 STAIRTOWER 2
BT3P,BT3 PIPERACKS
BT3P-01,BT3 PIPERACK MODULE 01
BT3P-02,BT3 PIPERACK MODULE 02
BT3P-03,BT3 PIPERACK MODULE 03
BT3P-04,BT3 PIPERACK MODULE 04
